IngestionId,Size,Cycle,molecule_count,x,y,z,cumulative_count,distance_rank_per_size,scaled,R,G,B
412316860420,15,27,4,66.018,-38.405,-38.803,98,4,1.8616558,0.8,0.0,0.2
412316860420,15,28,6,66.018,-38.405,-38.803,104,4,1.8814636,0.8,0.0,0.2
412316860420,15,29,4,66.018,-38.405,-38.803,108,4,1.8940437,0.8,0.0,0.2
412316860420,15,30,3,66.018,-38.405,-38.803,111,4,1.9031768,0.8,0.0,0.2
412316860420,15,31,2,66.018,-38.405,-38.803,113,4,1.9091293,0.8,0.0,0.2
412316860420,15,32,5,66.018,-38.405,-38.803,118,4,1.9235616,0.8,0.0,0.2
412316860420,15,33,4,66.018,-38.405,-38.803,122,4,1.9346737,0.8,0.0,0.2
412316860420,15,34,6,66.018,-38.405,-38.803,128,4,1.9506768,0.8,0.0,0.2
412316860420,15,35,15,66.018,-38.405,-38.803,143,4,1.9876149,0.8,0.0,0.2
412316860420,15,36,6,66.018,-38.405,-38.803,149,4,2.0013154,0.8,0.0,0.2
412316860420,15,37,3,66.018,-38.405,-38.803,152,4,2.00796,0.8,0.0,0.2
412316860420,15,38,3,66.018,-38.405,-38.803,155,4,2.014475,0.8,0.0,0.2
412316860420,15,39,9,66.018,-38.405,-38.803,164,4,2.0332887,0.8,0.0,0.2
412316860420,15,40,2,66.018,-38.405,-38.803,166,4,2.0373292,0.8,0.0,0.2
764504178738,14,0,1,65.688805,-35.990227,-40.897663,1,6,0.33333334,0.7019608,0.0,0.29803923
764504178738,14,1,1,65.688805,-35.990227,-40.897663,2,6,0.5643824,0.7019608,0.0,0.29803923
764504178738,14,2,5,65.688805,-35.990227,-40.897663,7,6,0.9819701,0.7019608,0.0,0.29803923
764504178738,14,3,1,65.688805,-35.990227,-40.897663,8,6,1.0264806,0.7019608,0.0,0.29803923
764504178738,14,4,1,65.688805,-35.990227,-40.897663,9,6,1.0657415,0.7019608,0.0,0.29803923
764504178738,14,6,2,65.688805,-35.990227,-40.897663,11,6,1.1326318,0.7019608,0.0,0.29803923
764504178738,14,19,1,65.688805,-35.990227,-40.897663,12,6,1.1616355,0.7019608,0.0,0.29803923
764504178738,14,20,1,65.688805,-35.990227,-40.897663,13,6,1.1883165,0.7019608,0.0,0.29803923
764504178738,14,22,1,65.688805,-35.990227,-40.897663,14,6,1.2130191,0.7019608,0.0,0.29803923
764504178738,14,23,2,65.688805,-35.990227,-40.897663,16,6,1.2575296,0.7019608,0.0,0.29803923
764504178738,14,25,1,65.688805,-35.990227,-40.897663,17,6,1.2777377,0.7019608,0.0,0.29803923
764504178738,14,29,1,65.688805,-35.990227,-40.897663,18,6,1.2967906,0.7019608,0.0,0.29803923
764504178738,14,33,1,65.688805,-35.990227,-40.897663,19,6,1.314813,0.7019608,0.0,0.29803923
764504178738,14,34,1,65.688805,-35.990227,-40.897663,20,6,1.3319107,0.7019608,0.0,0.29803923
764504178738,14,35,2,65.688805,-35.990227,-40.897663,22,6,1.3636808,0.7019608,0.0,0.29803923
764504178738,14,36,1,65.688805,-35.990227,-40.897663,23,6,1.3784981,0.7019608,0.0,0.29803923
764504178738,14,39,2,65.688805,-35.990227,-40.897663,25,6,1.406292,0.7019608,0.0,0.29803923
927712935967,13,0,9,66.88373,-41.064846,-37.027817,9,9,1.0657415,0.5529412,0.0,0.44705883
927712935967,13,1,13,66.88373,-41.064846,-37.027817,22,9,1.3636808,0.5529412,0.0,0.44705883
927712935967,13,2,17,66.88373,-41.064846,-37.027817,39,9,1.5545206,0.5529412,0.0,0.44705883
927712935967,13,3,33,66.88373,-41.064846,-37.027817,72,9,1.7588887,0.5529412,0.0,0.44705883
927712935967,13,4,18,66.88373,-41.064846,-37.027817,90,9,1.8332698,0.5529412,0.0,0.44705883
927712935967,13,5,5,66.88373,-41.064846,-37.027817,95,9,1.8512923,0.5529412,0.0,0.44705883
927712935967,13,6,5,66.88373,-41.064846,-37.027817,100,9,1.8683901,0.5529412,0.0,0.44705883
927712935967,13,7,2,66.88373,-41.064846,-37.027817,102,9,1.8749909,0.5529412,0.0,0.44705883
927712935967,13,8,4,66.88373,-41.064846,-37.027817,106,9,1.887813,0.5529412,0.0,0.44705883
927712935967,13,9,6,66.88373,-41.064846,-37.027817,112,9,1.9061663,0.5529412,0.0,0.44705883
927712935967,13,10,15,66.88373,-41.064846,-37.027817,127,9,1.9480624,0.5529412,0.0,0.44705883
927712935967,13,11,10,66.88373,-41.064846,-37.027817,137,9,1.9733269,0.5529412,0.0,0.44705883
927712935967,13,12,11,66.88373,-41.064846,-37.027817,148,9,1.9990708,0.5529412,0.0,0.44705883
927712935967,13,13,7,66.88373,-41.064846,-37.027817,155,9,2.014475,0.5529412,0.0,0.44705883
927712935967,13,14,4,66.88373,-41.064846,-37.027817,159,9,2.022968,0.5529412,0.0,0.44705883
927712935967,13,15,11,66.88373,-41.064846,-37.027817,170,9,2.0452662,0.5529412,0.0,0.44705883
927712935967,13,16,6,66.88373,-41.064846,-37.027817,176,9,2.056828,0.5529412,0.0,0.44705883
927712935967,13,17,11,66.88373,-41.064846,-37.027817,187,9,2.0770361,0.5529412,0.0,0.44705883
927712935967,13,18,3,66.88373,-41.064846,-37.027817,190,9,2.0823414,0.5529412,0.0,0.44705883
927712935967,13,19,2,66.88373,-41.064846,-37.027817,192,9,2.0858319,0.5529412,0.0,0.44705883
927712935967,13,20,13,66.88373,-41.064846,-37.027817,205,9,2.10767,0.5529412,0.0,0.44705883
927712935967,13,21,2,66.88373,-41.064846,-37.027817,207,9,2.1109064,0.5529412,0.0,0.44705883
927712935967,13,22,6,66.88373,-41.064846,-37.027817,213,9,2.1204307,0.5529412,0.0,0.44705883
927712935967,13,23,8,66.88373,-41.064846,-37.027817,221,9,2.132721,0.5529412,0.0,0.44705883
927712935967,13,24,3,66.88373,-41.064846,-37.027817,224,9,2.1372154,0.5529412,0.0,0.44705883
927712935967,13,25,3,66.88373,-41.064846,-37.027817,227,9,2.14165,0.5529412,0.0,0.44705883
927712935967,13,27,20,66.88373,-41.064846,-37.027817,247,9,2.1697962,0.5529412,0.0,0.44705883
927712935967,13,28,12,66.88373,-41.064846,-37.027817,259,9,2.1856093,0.5529412,0.0,0.44705883
