Index,X,Y,Z
952,2050.5925,114.31999,1249.1904
953,3267.4922,182.31242,1675.3198
956,929.4565,52.07539,-579.38873
958,4389.1675,246.11131,3396.8855
959,107.08246,6.00442,-171.05583
963,2635.4883,149.05356,1890.3412
971,1875.1558,107.01493,-776.83356
973,1591.5911,90.87406,1128.3916
984,2808.0903,161.9392,1102.6061
985,9378.922,540.8824,-861.92
989,1882.0897,108.76872,-1463.5402
992,1992.853,115.41147,-987.6779
993,2394.2334,138.97829,850.2704
995,835.75073,48.57441,-314.9801
996,932.14636,54.24797,146.7159
1000,1526.6097,89.38252,3373.262
1004,2139.172,125.86315,-3697.423
1005,225.21034,13.26619,-168.94724
1006,822.0485,48.50571,-1844.7491
1010,4877.422,289.06155,-2772.882
1015,1574.6954,93.85958,1468.4305
1016,824.4923,49.18188,-444.7459
1017,2109.8816,126.04073,243.82394
1018,3559.5889,213.10081,-1740.9578
1024,1437.8966,86.42357,-617.83545
1028,2513.5986,151.45879,60.82062
1030,6417.342,387.52527,2078.7761
1031,888.2436,53.70452,-1162.6749
1033,369.82614,22.43279,-570.52203
1036,1934.4421,117.77814,3356.6643
1047,416.48004,25.60918,-83.46587
1050,1700.8563,104.85145,3039.173
1064,1812.0519,113.58333,-3528.5417
1065,516.37897,32.36717,-200.65172
1069,839.97064,52.74691,3381.1462
1073,1928.4314,121.56503,-1645.6545
1076,1765.7538,111.55955,-241.74803
1081,1502.6217,95.60515,1310.357
1083,5034.3687,321.02505,6899.5244
1086,1294.8815,82.83,-445.0748
1095,3759.5093,241.6646,7921.77
1100,860.0162,55.62791,-217.71542
1101,2960.8142,191.72455,-2285.657
1103,1219.0785,79.01099,538.6386
1105,1021.57904,66.46733,-643.5051
1107,2029.5039,132.39264,-107.56361
1111,766.76685,50.19156,119.2437
1114,1424.844,93.38966,139.71187
1115,1609.761,105.63677,3642.839
1119,164.43987,10.8336,-419.00528
1123,3072.7466,203.18694,-1707.4203
1124,799.48865,52.93805,558.29095
1128,1198.3804,79.47067,619.4493
1132,1537.6576,102.23149,806.05884
1141,1294.6011,86.40318,-390.65182
1144,814.9948,54.70039,445.11206
1151,3409.9275,230.29459,-218.26859
1154,2333.6738,158.1693,2997.714
1160,1319.4779,90.45138,-657.75055
1161,1324.7025,90.90299,-170.25082
1162,1692.3662,116.31624,-1194.4462
1163,978.5851,67.35186,999.7016
1174,459.9088,31.98834,-1836.9733
1177,1029.8483,71.811,76.73699
1183,2831.879,198.55602,-2616.9426
1184,1775.9717,124.53159,-1667.1096
1186,3355.1858,235.43813,-1615.617
1196,338.2645,23.94013,200.0112
1200,8688.965,618.10345,-3622.0823
1201,616.3432,43.9952,-408.5128
1205,1672.2186,119.59287,-206.74147
1206,735.59015,52.63335,-259.6988
1207,705.15356,50.51805,-294.1059
1210,299.52255,21.48024,-318.883
1212,5699.4277,409.25223,7849.116
1217,2511.2312,181.56104,-1620.1423
1218,1517.5195,109.8347,-1224.6501
1222,1053.2654,76.32654,299.56625
1224,141.54227,10.27597,-170.7492
1227,2443.234,177.88776,79.15087
1231,1254.6875,91.59398,-807.28
1236,736.29016,53.82692,661.22534
1238,2357.5386,172.57494,2559.8286
1240,3010.5117,220.56705,545.5642
1244,2318.391,170.66077,1478.1666
1247,48.00504,3.54114,328.49704
1248,2511.8892,185.36287,-661.61865
1256,1011.9704,75.02144,-1633.5583
1259,3103.9963,231.22815,128.90312
1267,5440.2446,406.53287,3287.5632
1275,2248.8809,169.12473,-2205.7356
1282,3354.257,253.96362,145.50018
1284,201.98863,15.31057,113.13264
1285,1413.3546,107.25392,-4340.647
1290,718.07166,54.64606,-906.07825
1294,1252.8433,95.68089,-2777.8208
1296,294.2733,22.51939,-321.33127
1299,4032.0771,309.0959,4868.721
1302,1841.331,141.2877,1369.0352
1309,340.68448,26.33645,-52.17936
1310,697.8756,53.95946,-1252.3895
1312,4570.337,354.0293,5749.1196
1313,4226.1255,327.89603,2119.824
1322,428.84357,33.43638,126.036
1331,4579.286,358.4938,1496.4594
1341,1439.5304,113.36274,242.02263
1342,4895.944,385.63565,2985.042
1349,702.46094,55.69026,46.76382
1358,1690.4476,135.13768,-655.6786
