Index,X,Y,Z
62737,-325.31562,-200.14426,-111.06117
62738,-2309.65278,-1421.13176,333.20262
62739,-656.69234,-404.09275,405.27099
62740,-715.43551,-440.29335,501.70227
62741,-1222.06032,-752.16617,1138.07233
62742,-1950.87166,-1200.80977,-112.4975
62743,-991.35318,-610.2712,923.38465
62744,-1496.43084,-921.35557,-1473.872
62745,-1385.5714,-853.1689,149.02435
62746,-3016.43016,-1857.41321,1081.01827
62747,-462.30308,-284.67794,-198.39052
62748,-680.63544,-419.17971,-526.07423
62749,-1126.37157,-693.93309,637.20301
62750,-2869.84406,-1768.20055,-1059.98669
62751,-1800.23336,-1109.19596,683.45797
62752,-684.47617,-421.75428,-672.58953
62753,-1574.27096,-970.41956,1079.46396
62754,-2397.5841,-1478.32955,1442.41228
62755,-1622.86891,-1000.6656,-1675.34154
62756,-1057.52146,-652.22755,-1710.53829
62757,-1097.87844,-677.16331,981.29016
62758,-2749.8119,-1696.28457,-2966.11566
62759,-1462.27419,-902.0383,-1816.06198
62760,-2363.53059,-1458.1407,-1620.66797
62761,-1063.75148,-656.26706,1677.62318
62762,-2205.86214,-1360.87807,-4160.69762
62763,-123.58808,-76.24204,-106.94288
62764,-348.17601,-214.80287,-39.52446
62765,-890.47725,-549.39834,726.63192
62766,-1983.25147,-1223.6152,-589.88014
62767,-4290.55388,-2647.27118,-4498.54064
62768,-4715.27697,-2909.38471,1526.79432
62769,-487.39743,-300.76937,-93.92669
62770,-3004.19736,-1854.19049,3297.65744
62771,-1602.53121,-989.2726,-472.88342
62772,-3123.11478,-1927.94713,-5618.91312
62773,-434.89892,-268.52574,877.17999
62774,-1160.3758,-716.58395,-2605.86871
62775,-479.80404,-296.40386,967.43574
62776,-2233.73817,-1379.96604,-3513.23163
62777,-2056.92718,-1271.17111,-210.70532
62778,-370.54332,-229.04865,-524.91235
62779,-1494.11271,-923.65951,189.75249
62780,-3126.71581,-1932.96374,61.14258
62781,-1351.16464,-835.34995,-773.35003
62782,-402.22044,-248.6828,-1906.87549
62783,-1293.91122,-800.15387,823.88731
62784,-295.73583,-182.89881,1261.86736
62785,-2198.75844,-1360.03131,951.21758
62786,-1046.63995,-647.49579,-1347.31572
62787,-1015.7986,-628.42961,-1805.07571
62788,-1631.12602,-1009.69125,-992.373
62789,-2771.13402,-1715.65165,4203.65338
62790,-1570.52778,-972.64164,-3696.3149
62791,-838.37906,-519.22856,850.26019
62792,-916.12577,-567.60468,-657.84719
62793,-1655.7521,-1025.94933,-1388.96648
62794,-755.46662,-468.10848,-131.86208
62795,-1624.07102,-1006.58308,-668.53413
62796,-587.87636,-364.47526,737.51398
62797,-1729.06368,-1072.38629,-590.74433
62798,-1053.09374,-653.15049,529.81842
62799,-352.31759,-218.52464,-1493.92846
62800,-1335.38984,-828.3821,-3235.70937
62801,-2102.59612,-1304.51532,1158.64781
62802,-1185.79047,-735.70242,-2331.70683
62803,-913.36692,-566.68892,-1120.62341
62804,-1978.2699,-1227.94833,-2741.87486
62805,-3057.19717,-1897.76264,-6111.57337
62806,-761.42696,-472.66452,-1792.44577
62807,-242.30324,-150.41656,-1322.78499
62808,-1793.91624,-1113.79412,-935.40056
62809,-998.97992,-620.30744,1062.45211
62810,-1404.39115,-872.18162,683.50576
62811,-599.12732,-372.12808,1074.56226
62812,-1233.89848,-766.68058,-2659.40438
62813,-707.8897,-439.87184,186.2026
62814,-872.78848,-542.38919,1351.50114
62815,-1106.10872,-687.49855,-442.62119
62816,-451.18732,-280.43759,471.38855
62817,-366.78427,-228.0128,-441.04308
62818,-2570.74047,-1598.34159,-551.40979
62819,-259.40066,-161.28714,-564.03775
62820,-3420.4992,-2127.2251,-8433.20284
62821,-4026.15609,-2504.96889,-4071.57194
62822,-2588.17129,-1610.32398,-57.31948
62823,-1150.58041,-715.88475,-1883.3313
62824,-621.34932,-386.6278,-619.42687
62825,-2325.56142,-1447.37004,1644.44318
62826,-970.43936,-604.02876,-4175.36494
62827,-883.71228,-550.09367,-652.42951
62828,-805.10587,-501.2312,2878.07368
62829,-3777.35749,-2351.79007,-5024.30738
62830,-2143.83878,-1334.82768,-2823.15572
62831,-2341.72452,-1458.42694,-4230.47336
62832,-2810.65271,-1750.58284,-10.98121
62833,-524.49084,-326.72121,-703.47457
62834,-254.57106,-158.59848,-355.77366
62835,-3034.97742,-1890.82588,794.53622
62836,-1069.02752,-666.02369,-2849.29265
62837,-1366.88136,-851.61393,157.19773
62838,-2497.38766,-1556.17976,207.34546
62839,-973.86312,-607.01985,-1561.69763
62840,-468.20661,-291.94496,-2906.67272
62841,-1538.73056,-959.54859,-1267.37518
62842,-3693.38753,-2303.64692,-1874.40795
62843,-1017.51204,-634.66975,-2714.23709
62844,-2147.92501,-1340.01624,-2.47429
62845,-635.37631,-396.47,-576.60534
62846,-706.29173,-440.76375,-3286.00571
62847,-346.53057,-216.25794,148.3948
62848,-3251.25084,-2029.11859,-755.52229
62849,-3847.57852,-2401.36993,1375.0928
62850,-3870.99037,-2416.06604,-168.32182
62851,-2664.0479,-1662.89523,904.03668
62852,-4397.13245,-2744.84226,736.61077
62853,-3281.71489,-2048.68213,-1500.20247
62854,-2398.99321,-1497.67727,775.66084
62855,-3547.95641,-2215.14688,-4038.21202
62856,-1183.21479,-738.83086,-4098.09801
62857,-961.7074,-600.52884,1089.3512
62858,-688.15015,-429.70542,302.34748
62859,-299.69335,-187.16218,395.33382
62860,-1455.39048,-908.9373,-3161.48039
62861,-920.23868,-574.77049,-507.00828
62862,-4542.26925,-2837.21456,-5439.63871
62863,-1360.43414,-849.76116,-59.88717
62864,-962.36464,-601.14633,1172.04333
